make,model,year,mileage_km,price_eur
Toyota,Corolla,2018,68000,12500
Volkswagen,Golf,2017,82000,11800
BMW,320i,2019,54000,21500
Mercedes-Benz,C220,2020,38000,28900
Audi,A4,2018,71000,19400
Ford,Focus,2016,98000,8200
Renault,Clio,2019,46000,9800
Peugeot,308,2017,77000,9100
Skoda,Octavia,2018,63000,13700
Opel,Astra,2016,105000,7400
Toyota,Yaris,2020,29000,13900
Hyundai,i30,2019,52000,12100
Honda,Civic,2018,67000,14300
Mazda,3,2019,49000,15600
Nissan,Qashqai,2017,89000,12900
Volkswagen,Passat,2020,42000,22500
BMW,520d,2018,76000,24700
Mercedes-Benz,A180,2019,33000,21200
Audi,Q3,2020,28000,29800
Ford,Mondeo,2017,93000,9700
Toyota,RAV4,2019,58000,22300
Volvo,XC60,2018,71000,25400
